CloneOf;Name;Description;Year;Manufacturer
apple2;uniap2pt;Unitron AP II (in Brazilian Portuguese);1982;Unitron Eletronica
apple2;uniap2ti;Unitron AP II+ (Teclado Inteligente);1984;Unitron Eletronica
;unichamp;Champion 2711;1977;Unisonic
;unicornd;Unicorn Dreaming (0100791V, NSW/ACT);1999;Aristocrat
unicornd;unicornda;Unicorn Dreaming (0100813V, NSW/ACT);1999;Aristocrat
unicornd;unicorndnz;Unicorn Dreaming (0101228V, New Zealand);2000;Aristocrat
unicornd;unicorndu;Unicorn Dreaming (BHG1584, US);2001;Aristocrat
;unior;Unior;19??;<unknown>
;unistar;Unistar 200 Terminal;198?;Callan Data Systems
macplus;unitron;Mac 512;1985;bootleg (Unitron)
;uniwars;UniWar S;1980;Irem
uniwars;uniwarsa;UniWar S (bootleg);1980;bootleg (Karateco)
ibm5170;uniwb4407;486 WB 4407 REV 1.0;199?;UNICHIP
;unk1682;unknown VT1682-based 101-in-1 handheld (PAL);200?;<unknown>
;unk2019hh;unknown VTxx based GameBoy style handheld (2019 PCB);2019;<unknown>
unk2019hh;unk2020hh;unknown VTxx based GameBoy style handheld (2020 PCB);2020;<unknown>
;unk820501;unknown Cirsa slot machine on 820501 A PCB;1982?;Cirsa
;unk960606;unknown 960606-5 based machine (set 1);2001?;Unidesa/Cirsa
;unk960606b;unknown 960606-5 based machine (set 2);2001?;Unidesa/Cirsa/Europea
scmaster;unkch1;New Cherry Gold '99 (bootleg of Super Cherry Master) (set 1);1999;bootleg
scmaster;unkch2;Super Cherry Gold (bootleg of Super Cherry Master);1999;bootleg
scmaster;unkch3;New Cherry Gold '99 (bootleg of Super Cherry Master) (set 2);1999;bootleg
scmaster;unkch4;Grand Cherry Master (bootleg of Super Cherry Master);1999;bootleg
;unkct;unknown Cointek game;1989;Cointek Enterprise Corp
;unkeinv;unknown electronic Space Invaders game (patent);1980;Gordon Barlow Design
;unkfr004;unknown game on FR004 hardware (set 1);200?;Nova Desitec
unkfr004;unkfr004a;unknown game on FR004 hardware (set 2);200?;Nova Desitec
unkfr004;unkfr004b;unknown game on FR004 hardware (set 3);200?;Nova Desitec
unkfr004;unkfr004c;unknown game on FR004 hardware (set 4);200?;Nova Desitec
;unkfr009;unknown game on FR009 hardware;200?;Nova Desitec
;unkh8gam;unknown H8 Italian gambling game;200?;<unknown>
;unkhockey;unknown Sega air hockey game;199?;Sega
;unkhorse;unknown Japanese horse gambling game;1981?;<unknown>
;unkhpslt;unknown Hobby Play slot machine;198?;Hobby Play
;unkitpkr;unknown Italian poker game;198?;<unknown>
;unkkonmd;unknown Konami medal game (game code GS662);1997;Konami
;unkpacg;unknown 'Pac-Man' gambling game (set 1);199?;<unknown>
unkpacg;unkpacga;Pucman;199?;IDI SRL
unkpacg;unkpacgb;unknown 'Pac-Man' gambling game (set 2);199?;<unknown>
unkpacg;unkpacgc;Coco Louco;1988;<unknown>
unkpacg;unkpacgd;unknown 'Pac Man with cars' gambling game;1988;<unknown>
;unkpmc;unknown PMC game;1975?;PMC
;unkpoker;unknown 1980 poker game;1980?;<unknown>
mc_tv200;unkra200;200 in 1 Retro Arcade;201?;<unknown>
;unks10md;unknown Namco System 10 medal game (MTL1 SPR0B);200?;Namco
;unks10md2;unknown Namco System 10 medal game (unknown code);2005;Namco
;unksig;unknown 'Space Invaders' gambling game (encrypted, set 1);199?;<unknown>
unksig;unksiga;unknown 'Space Invaders' gambling game (encrypted, set 2);199?;<unknown>
unksig;unksigb;unknown 'Space Invaders' gambling game (unencrypted);199?;<unknown>
;unksmk;unknown SMK game;200?;High Video
;unkts;unknown game on TrueSys hardware;200?;<unknown>
;unkzilec;unknown Zilec game on Blue Print hardware;198?;Zilec Electronics / Exodis
;unomedal;UNO the Medal;2009;Sega
;unsp;SunPlus u'nSP (ISA 1.0);;
;unsp_11;SunPlus u'nSP (ISA 1.1);;
;unsp_12;SunPlus u'nSP (ISA 1.2);;
;unsp_20;SunPlus u'nSP (ISA 2.0);;
;unsquad;U.N. Squadron (USA);1989;Capcom
;untoucha;Untouchable (Ver. 2.10);1987;Dynax
;uopoko;Puzzle Uo Poko (World);1998;Cave (Jaleco license)
uopoko;uopokoj;Puzzle Uo Poko (Japan);1998;Cave (Jaleco license)
;upc82c710;Universal Peripheral Controller 82C710;;
;upc82c711;Universal Peripheral Controller 82C711;;
;upd1771c;NEC uPD1771C 017;;
;upd1990a;uPD1990A RTC;;
;upd3301;NEC uPD3301;;
;upd4701a;uPD4701A Incremental Encoder;;
;upd4990a;uPD4990A RTC;;
;upd4991a;NEC uPD4991a parallel RTC;;
;upd4992;uPD4992 RTC;;
;upd546;NEC uPD546;;
;upd552;NEC uPD552;;
;upd553;NEC uPD553;;
;upd557l;NEC uPD557L;;
;upd650;NEC uPD650;;
;upd65031;NEC uPD65031;;
;upd7001;NEC uPD7001 A/D Converter;;
;upd7002;uPD7002 ADC;;
;upd7004;UPD7004 A/D Converter;;
;upd71071;NEC uPD71071 DMA Controller;;
;upd7201;NEC uPD7201 MPSC;;
;upd72065;NEC uPD72065 FDC;;
;upd72067;NEC uPD72067 FDC;;
;upd72069;NEC uPD72069 FDC;;
;upd7220;NEC uPD7220;;
;upd7227;NEC uPD7227;;
;upd765a;NEC uPD765A FDC;;
;upd765b;NEC uPD765B FDC;;
;upd7725;NEC uPD7725;;
;upd7752;NEC uPD7752;;
;upd7756;NEC uPD7756;;
;upd7759;NEC uPD7759;;
;upd7801;NEC uPD7801;;
;upd78053;NEC uPD78053;;
;upd7807;NEC uPD7807;;
;upd7810;NEC uPD7810;;
;upd7811;NEC uPD7811;;
;upd78210;NEC uPD78210;;
;upd78213;NEC uPD78213;;
;upd78310;NEC uPD78310;;
;upd78312;NEC uPD78312;;
;upd784031;NEC uPD784031;;
;upd78c05;NEC uPD78C05;;
;upd78c06;NEC uPD78C06;;
;upd78c10;NEC uPD78C10;;
;upd78c11;NEC uPD78C11;;
;upd800468;NEC uPD800468;;
;upd800468_timer;NEC uPD800468 timer;;
;upd934g;NEC uPD934G;;
;upd96050;NEC uPD96050;;
;upndown;Up'n Down (315-5030);1983;Sega
upndown;upndownu;Up'n Down (not encrypted);1983;Sega
;upscope;Up Scope;1986;Grand Products
alleymas;upyoural;Up Your Alley;1986;Cinematronics
;urachamu;Urachacha Mudaeri (Korea);2002;GamToU
;urashima;Otogizoushi Urashima Mahjong (Japan);1989;UPL
;us2pfball;Electronic 2-Player Football;1981;U.S. Games Corporation
;usafootb;U.S.A. Football (R06u);1993;Alvin G
usafootb;usafootba;U.S.A. Football (R01u);1993;Alvin G
;usafootf;U.S.A. Football (P08, redemption);1994;Alvin G
;usagi;Usagi (V2.02J 2001/10/02 12:41:19);2001;Warashi / Mahjong Kobo / Taito
;usagiol;Usagi: Yasei no Topai Online (v2.04J);2005;Taito Corporation/Warashi
;usagiym;Usagi - Yamashiro Mahjong Hen (Japan) (GDL-0022);2003;Warashi / Mahjong Kobo / Taito
;usb_connector;Usb Connector Abstraction;;
;usb_ehci;USB 2.0 EHCI interface;;
;usb_ohci;USB 1.1 OHCI interface;;
;usb_uhci;USB 1.1 UHCI interface;;
;usclssic;U.S. Classic;1989;Seta
usgames;usg182;Games V18.2;1989;U.S. Games, Inc.
usgames;usg185;Games V18.5;1990;U.S. Games, Inc.
usgames;usg187c;Games V18.7C;1991;U.S. Games, Inc.
usgames;usg211c;Games V21.1C;1991;U.S. Games, Inc.
usgames;usg251;Games V25.1;1991;U.S. Games, Inc.
;usg32;Super Duper Casino (California V3.2);1987;U.S. Games, Inc.
superten;usg82;Super Ten V8.2;1988;U.S. Games, Inc.
superten;usg83x;Super Ten V8.3X;1988;U.S. Games, Inc.
;usgames;Games V25.4X;1992;U.S. Games, Inc.
;uspbball;Programmable Baseball;1981;U.S. Games Corporation
;usvsthem;Us vs. Them;1984;Mylstar
ut88mini;ut88;UT-88;1989;<unknown>
;ut88mini;UT-88 mini;1989;<unknown>
;utoukond;Ultra Toukon Densetsu (Japan);1993;Banpresto / Tsuburaya Productions
macplus;utrn1024;Unitron 1024;1985;bootleg (Unitron)
uts20;uts10;UTS-10;1981;Sperry Univac
;uts20;UTS-20;1980;Sperry Univac
;uts_400kbd;UTS 400-Format Keyboard (F3621-04-000);;
;uts_extw;UTS Expanded Typewriter Keyboard (F4725-25);;
;uts_kbd;UTS Keyboard Port;;
;uv201;UV201;;
vcc;uvc;Advanced Voice Chess Challenger;1980;Fidelity Electronics
;uvw1200;BETACAM-SP Videocassette Player UVW-1200 RGB;199?;Sony
;uvw1600;BETACAM-SP Videocassette Player/Recorder UVW-1600 RGB;199?;Sony
;uvw1800;BETACAM-SP Videocassette Player/Recorder UVW-1800 RGB;199?;Sony
;uzebox;Uzebox;2010;Belogic
;v0bowl;unknown VRender0+ bowling game;200?;A1 Amusement One
;v1;V.1;1985;IDSA
;v100;Visual 100;1980;Visual Technology
;v102;Visual 102;1984;Visual Technology
;v102_kbd;Visual 102 Keyboard;;
;v1050;Visual 1050;1983;Visual Technology Inc
;v1050kb;Visual 1050 Keyboard;;
;v20;NEC V20;;
;v200;Voyage 200 PLT;2002;Texas Instruments
;v25;NEC V25;;
ibm5170;v286c;V286C;198?;Victor
;v30;NEC V30;;
;v3021;EM Microelectronic-Marin SA V3021 RTC;;
;v30mz;NEC V30MZ;;
;v33;NEC V33;;
;v33a;NEC V33A;;
;v35;NEC V35;;
c264;v364;Commodore V364 (Prototype);1984;Commodore Business Machines
;v40;NEC V40;;
;v4addlad;Adders and Ladders (v2.1) (MPU4 Video);1989;Barcrest
v4addlad;v4addlad20;Adders and Ladders (v2.0) (MPU4 Video);1989;Barcrest
v4addlad;v4addladd;Adders and Ladders (v2.1d) (MPU4 Video);1989;Barcrest
;v4barqs2;Barquest 2 (v0.3) (MPU4 Video);199?;Barcrest
;v4barqst;Barquest (v2.6) (MPU4 Video);199?;Barcrest
v4barqst;v4barqstd;Barquest (v2.6d) (MPU4 Video);199?;Barcrest
;v4big40;Big 40 Poker (BWB) (Arcade Standard) (set 1) (MPU4 Video);1996;BWB
v4big40;v4big40a;Big 40 Poker (BWB) (Arcade Standard) (set 2) (MPU4 Video);1996;BWB
v4big40;v4big40b;Big 40 Poker (BWB) (Arcade Standard) (set 3) (MPU4 Video);1996;BWB
v4big40;v4big40c;Big 40 Poker (BWB) (Arcade Standard) (set 4) (MPU4 Video);1996;BWB
v4big40;v4big40d;Big 40 Poker (BWB) (Arcade Data) (set 1) (MPU4 Video);1996;BWB
v4big40;v4big40e;Big 40 Poker (BWB) (Arcade Data) (set 2) (MPU4 Video);1996;BWB
v4big40;v4big40f;Big 40 Poker (BWB) (S_Site Data + %-Key + OCDM) (MPU4 Video);1996;BWB
v4big40;v4big40g;Big 40 Poker (BWB) (S_Site Standard) (set 1) (MPU4 Video);1996;BWB
v4big40;v4big40h;Big 40 Poker (BWB) (S_Site Standard) (set 2) (MPU4 Video);1996;BWB
v4big40;v4big40i;Big 40 Poker (BWB) (S_Site Data + %-Key) (set 1) (MPU4 Video);1996;BWB
v4big40;v4big40j;Big 40 Poker (BWB) (S_Site Data + %-Key) (set 2) (MPU4 Video);1996;BWB
v4big40;v4big40k;Big 40 Poker (BWB) (S_Site Data) (MPU4 Video);1996;BWB
;v4bigfrt;Big Fruits (v2.0?) (set 1) (MPU4 Video);199?;BWB
v4bigfrt;v4bigfrta;Big Fruits (v2.0?) (set 2) (MPU4 Video);199?;BWB
v4bigfrt;v4bigfrtb;Big Fruits (v2.0?) (set 3) (MPU4 Video);199?;BWB
v4bigfrt;v4bigfrtc;Big Fruits (v2.0?) (% Key) (MPU4 Video);199?;BWB
;v4bios;MPU4 Video Firmware;199?;Barcrest
;v4blox;Blox (SJM BLOX, 50p/20p Play, Version 2.0) (MPU4 Video);1990;BWB / Barcrest
v4blox;v4bloxd;Blox (SJM BLOX, 50p/20p Play, Version 2.0) (Datapak) (MPU4 Video);1990;BWB / Barcrest
;v4bubbnk;Bubbly Bonk (v4.0?) (20p Fixed, Cash+Token) (MPU4 Video);199?;BWB
v4bubbnk;v4bubbnka;Bubbly Bonk (v4.0?) (20p Fixed, All - Cash) (MPU4 Video);199?;BWB
v4bubbnk;v4bubbnkb;Bubbly Bonk (v4.0?) (20p Fixed, Cash+Token, Datapak, % Key) (MPU4 Video);199?;BWB
v4bubbnk;v4bubbnkc;Bubbly Bonk (v4.0?) (20p Fixed, Cash+Token, Datapak) (MPU4 Video);199?;BWB
v4bubbnk;v4bubbnkd;Bubbly Bonk (v4.0?) (20p Fixed, Cash+Token, % Key) (MPU4 Video);199?;BWB
;v4bulblx;Bullion Blox (BWB) (set 1) (MPU4 Video);1994;BWB
v4bulblx;v4bulblxa;Bullion Blox (BWB) (Datapak) (set 1) (MPU4 Video);1994;BWB
v4bulblx;v4bulblxb;Bullion Blox (BWB) (set 2) (MPU4 Video);1994;BWB
v4bulblx;v4bulblxc;Bullion Blox (BWB) (Datapak) (set 2) (MPU4 Video);1994;BWB
;v4cmaze;The Crystal Maze (v1.3) (MPU4 Video);1993;Barcrest
;v4cmaze2;The New Crystal Maze Featuring Ocean Zone (v2.2) (MPU4 Video);1993;Barcrest
v4cmaze2;v4cmaze2_amld;The New Crystal Maze Featuring Ocean Zone (v0.1, AMLD) (MPU4 Video);1993;Barcrest
v4cmaze2;v4cmaze2b;The New Crystal Maze Featuring Ocean Zone (v2.0) (MPU4 Video);1993;Barcrest
v4cmaze2;v4cmaze2c;The New Crystal Maze Featuring Ocean Zone (v?.?) (MPU4 Video);1993;Barcrest
v4cmaze2;v4cmaze2d;The New Crystal Maze Featuring Ocean Zone (v2.2, Datapak) (MPU4 Video);1993;Barcrest
;v4cmaze3;The Crystal Maze Team Challenge (v0.9) (MPU4 Video);1994;Barcrest
v4cmaze3;v4cmaze3_amld;The Crystal Maze Team Challenge (v1.2, AMLD) (MPU4 Video);1994;Barcrest
v4cmaze3;v4cmaze3b;The Crystal Maze Team Challenge (v0.8) (MPU4 Video);1994;Barcrest
v4cmaze3;v4cmaze3c;The Crystal Maze Team Challenge (v0.6) (MPU4 Video);1994;Barcrest
v4cmaze3;v4cmaze3d;The Crystal Maze Team Challenge (v0.9, Datapak) (MPU4 Video);1994;Barcrest
v4cmaze;v4cmaze_amld;The Crystal Maze (v0.1, AMLD) (MPU4 Video);1993;Barcrest
v4cmaze;v4cmazeb;The Crystal Maze (v1.2) (MPU4 Video);1993;Barcrest
v4cmaze;v4cmazec;The Crystal Maze (v1.3 alt) (MPU4 Video);1993;Barcrest
v4cmaze;v4cmazed;The Crystal Maze (v1.1) (MPU4 Video);1993;Barcrest
v4cmaze;v4cmazedat;The Crystal Maze (v1.3, Datapak) (MPU4 Video);1993;Barcrest
;v4cshinf;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token) (set 1) (MPU4 Video);199?;BWB
v4cshinf;v4cshinf3;Cash Inferno (BWB) (Release 3) (set 1) (MPU4 Video);199?;BWB
v4cshinf;v4cshinf3a;Cash Inferno (BWB) (Release 3) (set 2) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfa;Cash Inferno (BWB) (Release 4, 5p Fixed, All - Cash) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfb;Cash Inferno (BWB) (Release 4, 10p Fixed, Cash+Token) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfd;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token) (set 2) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfe;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token, Datapak) (set 1) (MPU4 Video);199?;BWB
v4cshinf;v4cshinff;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token, Showcase, Datapak) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfg;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token) (set 3) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfh;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token, Showcase) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfi;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token, Datapak, % Key) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfj;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token, Showcase, Datapak, % Key) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfk;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token, Datapak) (set 2) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfl;Cash Inferno (BWB) (Release 4, 20p Fixed, Cash+Token, % Key) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfm;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, Cash+Token) (set 1) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfn;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, Cash+Token, Showcase) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfo;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, Cash+Token, Datapak, % Key) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfp;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, Cash+Token, Datapak) (set 1) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfq;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, Cash+Token, % Key) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfr;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, Cash+Token) (set 2) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfs;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, Cash+Token, Datapak) (set 2) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfu;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, All - Cash) (MPU4 Video);199?;BWB
v4cshinf;v4cshinfw;Cash Inferno (BWB) (Release 4, 20p Switchable 20p/10p/5p, All - Cash, Datapak)  (MPU4 Video);199?;BWB
;v4cybcas;Cyber Casino (Nova, German) (MPU4 Video);199?;BWB (Nova license)
;v4dbltak;Double Take (BWB) (Release 4, Arcade Standard, 20p/25p Stake Key, £5/£10/£15 Prize Key) (MPU4 Video);1997;BWB
v4dbltak;v4dbltaka;Double Take (BWB) (Release 4, Arcade Data, 20p/25p Stake Key, £5/£10/£15 Prize Key) (MPU4 Video);1997;BWB
v4dbltak;v4dbltakb;Double Take (BWB) (Release 4, S_Site Data, 20p/25p Stake Key, £5/£10/£15 Prize Key, % Key) (MPU4 Video);1997;BWB
;v4dealem;Deal 'Em (MPU4 Conversion Kit, v7.0);1987;Zenitone
;v4eyedwn;Eyes Down (v1.3) (MPU4 Video);199?;Barcrest
v4eyedwn;v4eyedwnd;Eyes Down (v1.3, Datapak) (MPU4 Video);199?;Barcrest
;v4frfact;Fruit Factory (BWB) (set 1) (MPU4 Video);199?;BWB
v4frfact;v4frfacta;Fruit Factory (BWB) (set 2) (MPU4 Video);199?;BWB
v4frfact;v4frfactb;Fruit Factory (BWB) (set 3) (MPU4 Video);199?;BWB
v4frfact;v4frfactc;Fruit Factory (BWB) (set 4) (MPU4 Video);199?;BWB
v4frfact;v4frfactd;Fruit Factory (BWB) (set 5) (MPU4 Video);199?;BWB
v4frfact;v4frfacte;Fruit Factory (BWB) (set 6) (MPU4 Video);199?;BWB
v4frfact;v4frfactf;Fruit Factory (BWB) (set 7) (MPU4 Video);199?;BWB
;v4gldrsh;Gold Rush (BWB) (Release 8, 20p Fixed, All - Cash) (set 1) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrsh3;Gold Rush (BWB) (Release 3, 20p Fixed, Cash+Token) (MPU4 Video);1994;BWB
v4gldrsh;v4gldrsha;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (set 1) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshb;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (Showcase) (set 1) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshc;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (Datapak) (set 1) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshd;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (Datapak) (set 2) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshe;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (Showcase) (Datapak) (set 1) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshf;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (set 2) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshg;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (Showcase) (set 2) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshh;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshi;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (Datapak) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshj;Gold Rush (BWB) (Release 8, 20p Fixed, Cash+Token) (Showcase) (Datapak) (set 2) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshk;Gold Rush (BWB) (Release 8, 20p Fixed, All - Cash) (Datapak) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshl;Gold Rush (BWB) (Release 8, 25p Fixed, All - Cash) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshm;Gold Rush (BWB) (Release 8, 25p Fixed, All - Cash) (Datapak) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshn;Gold Rush (BWB) (Release 8, Switchable 20p/25p, All - Cash) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrsho;Gold Rush (BWB) (Release 8, Switchable 20p/25p, All - Cash) (Datapak) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshp;Gold Rush (BWB) (Release 8, Switchable 20p/10p/5p, Cash+Token) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshq;Gold Rush (BWB) (Release 8, Switchable 20p/10p/5p, Cash+Token) (Showcase) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshr;Gold Rush (BWB) (Release 8, Switchable 20p/10p/5p, Cash+Token) (Datapak) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshs;Gold Rush (BWB) (Release 8, Switchable 20p/10p/5p, Cash+Token) (Showcase) (Datapak) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrsht;Gold Rush (BWB) (Release 8, 20p Fixed, All - Cash) (set 2) (MPU4 Video);199?;BWB
v4gldrsh;v4gldrshu;Gold Rush (BWB) (Release 8, Switchable 20p/10p/5p, All - Cash) (MPU4 Video);199?;BWB
;v4in1eg;4 in 1 Electronic Games (VTech);1979;VTech
;v4mate;The Mating Game (v0.4) (MPU4 Video);1996?;Barcrest
v4mate;v4mated;The Mating Game (v0.4, Datapak) (MPU4 Video);1996?;Barcrest
;v4mazbel;Mazooma Belle (v2.5 DY, S/Site, Cash+Token, Datapak, % Key) (MPU4 Video);199?;BWB
v4mazbel;v4mazbel15;Mazooma Belle (v1.5, Arcade, Cash+Token) (set 1) (MPU4 Video);199?;BWB
v4mazbel;v4mazbel15a;Mazooma Belle (v1.5 DY, Arcade, Cash+Token, % Key) (MPU4 Video);199?;BWB
;v4mdice;Miami Dice (BWB) (Release 8, S/Site Standard, 25p-£10 Cash - Fixed) (set 1) (MPU4 Video);1995;BWB
v4mdice;v4mdice5;Miami Dice (BWB) (Release 5, Arcade Showcase, 20p-£8 Token - Fixed) (MPU4 Video);1995;BWB
v4mdice;v4mdice6;Miami Dice (BWB) (Release 6, Arcade Standard, 20p-£8 Token - Fixed) (MPU4 Video);1995;BWB
v4mdice;v4mdicea;Miami Dice (BWB) (Release 8, Arcade Standard, 5p-£4 Cash - Fixed) (MPU4 Video);1995;BWB
v4mdice;v4mdiceb;Miami Dice (BWB) (Release 8, Arcade Standard, 10p-£4 Cash - Fixed) (MPU4 Video);1995;BWB
v4mdice;v4mdicec;Miami Dice (BWB) (Release 8, Arcade Standard, 10p-£8 Token - Fixed) (MPU4 Video);1995;BWB
v4mdice;v4mdiced;Miami Dice (BWB) (Release 8, Arcade Standard, 20p-£4 Cash - Fixed) (MPU4 Video);1995;BWB
v4mdice;v4mdicee;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£4 Cash - Fixed) (MPU4 Video);1995;BWB
v4mdice;v4mdicef;Miami Dice (BWB) (Release 8, Arcade Standard, 20p-£8 Token - Fixed) (set 1) (MPU4 Video);1995;BWB
v4mdice;v4mdiceg;Miami Dice (BWB) (Release 8, Arcade Showcase, 20p-£8 Token - Fixed) (set 3) (MPU4 Video);1995;BWB
v4mdice;v4mdiceger;Miami Dice (Nova, German) (MPU4 Video);199?;BWB (Nova license)
v4mdice;v4mdiceh;Miami Dice (BWB) (Release 8, Arcade Standard, 20p-£8 Token - Fixed) (set 2) (MPU4 Video);1995;BWB
v4mdice;v4mdicei;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£8 Token - Fixed) (set 1) (MPU4 Video);1995;BWB
v4mdice;v4mdicej;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£8 Token - Fixed) (set 2) (MPU4 Video);1995;BWB
v4mdice;v4mdicek;Miami Dice (BWB) (Release 8, S/Site Showcase, 20p-£8 Token - Fixed) (set 5) (MPU4 Video);1995;BWB
v4mdice;v4mdicel;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£8 Token - Fixed) (set 3) (MPU4 Video);1995;BWB
v4mdice;v4mdicem;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£8 Token - Fixed) (set 4) (MPU4 Video);1995;BWB
v4mdice;v4mdicen;Miami Dice (BWB) (Release 8, Arcade Standard, 20p-£10 Cash - Fixed) (set 1) (MPU4 Video);1995;BWB
v4mdice;v4mdiceo;Miami Dice (BWB) (Release 8, Arcade Standard, 20p-£10 Cash - Fixed) (set 2) (MPU4 Video);1995;BWB
v4mdice;v4mdicep;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£10 Cash - Fixed) (set 1) (MPU4 Video);1995;BWB
v4mdice;v4mdiceq;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£10 Cash - Fixed) (set 2) (MPU4 Video);1995;BWB
v4mdice;v4mdicer;Miami Dice (BWB) (Release 8, S/Site Standard, 20p-£10 Cash - Fixed) (set 3) (MPU4 Video);1995;BWB
v4mdice;v4mdices;Miami Dice (BWB) (Release 8, Arcade Standard, 25p-£10 Cash - Fixed) (set 1) (MPU4 Video);1995;BWB
v4mdice;v4mdicet;Miami Dice (BWB) (Release 8, Arcade Standard, 25p-£10 Cash - Fixed) (set 2) (MPU4 Video);1995;BWB
v4mdice;v4mdiceu;Miami Dice (BWB) (Release 8, S/Site Standard, 25p-£10 Cash - Fixed) (set 2) (MPU4 Video);1995;BWB
v4mdice;v4mdicev;Miami Dice (BWB) (Release 8, S/Site Standard, 25p-£10 Cash - Fixed) (set 3) (MPU4 Video);1995;BWB
v4mdice;v4mdicew;Miami Dice (BWB) (Release 8, Arcade Standard, 20p-£8 Cash - Fixed) (MPU4 Video);1995;BWB
;v4megbuk;Megabucks Poker (BWB) (set 1) (MPU4 Video);199?;BWB
v4megbuk;v4megbuka;Megabucks Poker (BWB) (set 2) (MPU4 Video);199?;BWB
v4megbuk;v4megbukb;Megabucks Poker (BWB) (set 3) (MPU4 Video);199?;BWB
v4megbuk;v4megbukc;Megabucks Poker (BWB) (set 4) (MPU4 Video);199?;BWB
;v4missis;Mississippi Lady (Nova, German) (MPU4 Video);199?;BWB (Nova license)
